"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Characters/OilMonsters/M_Oil.M_Oil","0","22","0","1","0.000000","0","0"
"/Game/Characters/OilMonsters/M_Oil.M_Oil","49","58","0","1","0.000000","0","0"
